id,user_id,title,message,type,is_read,created_at
3,35,"New Meter Reading Recorded","New meter reading of 80.05 recorded. Bill amount: ₱2,001.25. Due date: 2026-02-06.",system,1,"2026-02-01 11:26:59"
4,5,"New Meter Reading Recorded","New meter reading of 200.25 recorded. Bill amount: ₱1,750.00. Due date: 2026-02-07.",system,1,"2026-02-02 13:43:01"
7,15,"New Meter Reading Recorded","New meter reading of 220.65 recorded. Bill amount: ₱1,760.00. Due date: 2026-02-07.",system,1,"2026-02-02 14:55:35"
8,32,"New Meter Reading Recorded","New meter reading of 90.5 recorded. Bill amount: ₱750.00. Due date: 2026-02-09.",system,1,"2026-02-04 20:45:15"
9,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:10:52"
10,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:10:52"
11,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:10:52"
12,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:10:59"
13,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:10:59"
14,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:10:59"
15,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:00"
16,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:00"
17,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:00"
18,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:04"
19,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:04"
20,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:04"
21,33,"Bill Overdue","Your water bill #9 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:06"
22,34,"Bill Overdue","Your water bill #10 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:06"
23,35,"Bill Overdue","Your water bill #14 is overdue. Please pay to avoid disconnection.",warning,1,"2026-02-07 19:11:06"
